timestamp,name,family,variant,notes,verdict,fail_reason,oos_sharpe,oos_ret,selection_note
2026-09-18T13:50:20.771955+00:00,E_btc_alt,E,rot_14d,BTC→alt rotation,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.5191336717884735,-0.6862678428631976,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,F_rev_7d,F,rev_7d,XS reversal 7d,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.8931169370157935,-0.8712192849251884,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,I_mom_btc_filter,I,A30d_btc_ma,A mom + BTC MA regime,TESTING,n/a_survivor,0.44904122168819643,0.1357096497705843,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,J_eth_btc_mr,J,eth_btc_mr,ETH/BTC mean-rev,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.350727323002381,-0.16235569293699248,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,J_sol_eth_mr,J,sol_eth_mr,SOL/ETH mean-rev,FAILED,negative_oos_return;non_positive_oos_sharpe;poor_validation,-0.04675862865763833,-0.07970560702766749,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,J_eth_btc_mom,J,eth_btc_mom,ETH/BTC mom,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.05884665429056742,-0.07228894507412631,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,G_vol_surge,G,surge2x_pos,Volume surge + pos mom,FAILED,negative_oos_return;non_positive_oos_sharpe,-0.4147845462756733,-0.647775427224067,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,H_funding_spot,H,btc_funding,Funding→spot risk,EXPLORATORY,incomplete_implementation,0.36989085620013695,0.08394901063571125,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,random_top5_seed42,BASE,random_s42,Random top-5 FIXED seed=42 (benchmark suite),FAILED,negative_oos_return;non_positive_oos_sharpe,-2.3554312337463688,-0.9653350719609798,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,random_top5_seed43,BASE,random_s43,Random top-5 FIXED seed=43 (benchmark suite),FAILED,negative_oos_return;non_positive_oos_sharpe,-2.277646778673507,-0.9579990280122731,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,random_top5_seed44,BASE,random_s44,Random top-5 FIXED seed=44 (benchmark suite),FAILED,negative_oos_return;non_positive_oos_sharpe,-2.3656694726741714,-0.9629768429667613,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,random_top5_seed45,BASE,random_s45,Random top-5 FIXED seed=45 (benchmark suite),FAILED,negative_oos_return;non_positive_oos_sharpe,-2.3171331907908583,-0.964862119057291,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
2026-09-18T13:50:20.771955+00:00,random_top5_seed46,BASE,random_s46,Random top-5 FIXED seed=46 (benchmark suite),FAILED,negative_oos_return;non_positive_oos_sharpe,-2.168374823887556,-0.9554460844362576,Frozen at tournament v1. Candidates = all pre-registered family variants A–J + BASE. No post-OOS param search. Extra random seeds added as benchmarks only.
